,brand,name,price,spec_rating,processor,Ram,ROM_type,display_size,resolution_width,resolution_height,OS
367,HP,15-fc0028AU Laptop,42999,69.32352941,7th Gen AMD Ryzen 5 7520U,8GB,SSD,15.6,1920,1080,Windows 11 OS
368,HP,15s-eq2223AU Laptop,38861,69.32352941,5th Gen AMD Ryzen 5 5500U,8GB,SSD,15.6,1920,1080,Windows 11 OS
370,HP,Chromebook 15a-na0012TU Laptop,15990,69.32352941,Intel Celeron  N4500,4GB,Hard-Disk,15.6,1366,768,Chrome OS
372,Acer,Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop,78400,71,7th Gen AMD Ryzen 5 7535HS,8GB,SSD,15.6,1920,1080,Windows 11 OS
374,Acer,Aspire 5 UN.K3JSI.004 Laptop,47990,67,12th Gen Intel Core i5 1235U,12GB,SSD,15.6,1920,1080,Windows 11 OS
392,HP,15s-fq2717TU Laptop,37990,60,11th Gen Intel Core i3 1115G4,8GB,SSD,15.6,1920,1080,Windows 11 OS
394,HP,14s-dq2649TU Laptop,34999,60,11th Gen Intel Core i3 1115G4,8GB,SSD,14,1920,1080,Windows 11 OS
395,Apple,MacBook Pro 14 inch Laptop,290990,61,Apple M2 Max M2 Max,32GB,SSD,14.2,3024,1964,Mac OS
396,Apple,MacBook Pro 14 inch Laptop,234990,69.32352941,Apple M2 Pro M2 Pro,16GB,SSD,14.2,3024,1964,Mac OS
397,HP,Pavilion Plus 14-eh0037TU Laptop,82799,70,12th Gen Intel Core i5 12500H,16GB,SSD,14,2880,1800,Windows 11 OS
405,HP,15-fc0026AU Laptop,34499,69.32352941,7th Gen AMD Ryzen 3 7320U,8GB,SSD,15.6,1920,1080,Windows 11 OS
407,HP,15s-fq2738TU Laptop,33800,69.32352941,11th Gen Intel Core i3 1115G4 ,8GB,SSD,15.6,1366,768,Windows 11 OS
416,Acer,Nitro 5 AN515-47 NH.QL3SI.001 Gaming Laptop,64990,71,7th Gen AMD Ryzen 5 7535HS,8GB,SSD,15.6,1920,1080,Windows 11 OS
420,HP,Pavilion Aero 13-be2047AU Laptop,77990,69,7th Gen AMD Ryzen 7 7735U,16GB,SSD,13.3,1920,1200,Windows 11 OS
424,Acer,Aspire 3 A315-24P NX.KDESI.004 Laptop,37990,69.32352941,7th Gen AMD Ryzen 5 7520U,8GB,SSD,15.6,1920,1080,Windows 11 OS
425,HP,Victus 15-fb0106AX Gaming Laptop,64990,67,5th Gen AMD Ryzen 5 5600H,16GB,SSD,15.6,1920,1080,Windows 11 OS
429,HP,Victus 16-d0310TX Gaming Laptop,56990,71,11th Gen Intel Core i5 11400H ,8GB,SSD,16.1,1920,1080,Windows 11 OS
431,HP,Pavilion Plus 14-eh0037TU Laptop,83249,70,12th Gen Intel Core i5 12500H,16GB,SSD,14,2880,1800,Windows 11 OS
433,HP,Envy x360 13-bf0121TU  Laptop,85490,71,12th Gen Intel Core i5 1230U,16GB,SSD,13.4,1920,1200,Windows 11 OS
436,Acer,Aspire 5 A515-57 2022 Laptop,48990,65,12th Gen Intel Core i5 1235U,16GB,SSD,15.6,1920,1080,Windows 11 OS
437,HP,Pavilion 14-dv2014TU Laptop,66648,64,12th Gen Intel Core i5 1235U,16GB,SSD,14,1920,1080,Windows 11 OS
438,Acer,Aspire 5 A515-57 NX.K2VSI.002 Laptop,36990,69.32352941,12th Gen Intel Core i3 1215U,8GB,SSD,15.6,1920,1080,Windows 11 OS
454,Acer,Extensa 15 EX215-54 Laptop,31500,69.32352941,11th Gen Intel Core i3 1115G4,8GB,SSD,15.6,1920,1080,Windows 11 OS
457,HP,Victus 15-fb0050AX Gaming Laptop,63490,71,5th Gen AMD Ryzen 5  5600H ,8GB,SSD,15.6,1920,1080,Windows 11 OS
461,HP,Pavilion 15s-fq5112TU Laptop,57580,69.32352941,12th Gen Intel Core i5 1235U,16GB,SSD,15.6,1920,1080,Windows 11 OS
463,HP,15s-fq2672TU Laptop,34999,60,11th Gen Intel Core i3 1115G4,8GB,SSD,15.6,1920,1080,Windows 11 OS
